Amount Pending,State,Tenure,Interest Rate,City,Bounce String,Disbursed Amount,Loan Number
1781,Tamil Nadu,11,4.91,KANCHIPURAM,S,19118,1BF22
1109,Tamil Nadu,10,5,Coimbatore,S,10840,L4YGB
2332,Tamil Nadu,11,4.89,ERODE,B,25036,7M1Y3
1933,Tamil Nadu,11,5.92,Chennai,S,20647,OSW65
1117,Tamil Nadu,11,6.6,VELLORE,B,11891,XTJX7
954,Tamil Nadu,11,6.88,TIRUVALLUR,S,10142,CUZXK
989,Tamil Nadu,11,4.94,NAGAPATTINAM,S,10615,6PO79
2335,Tamil Nadu,11,4.88,ERODE,S,25069,WPVIF
1781,Tamil Nadu,11,4.91,DINDIGUL,B,19118,ZG1J9
1152,Tamil Nadu,11,5.67,TIRUVALLUR,S,12320,6HBFB
3340,Tamil Nadu,11,5.81,Coimbatore,B,35695,R8K1A
3149,Tamil Nadu,11,6.17,TUTICORIN,S,33594,7Y9ZF
1117,Tamil Nadu,11,6.6,Coimbatore,S,11891,JRL4Z
1543,Tamil Nadu,11,4.88,Chennai,S,16566,M8Z3T
1349,Tamil Nadu,11,5.44,Chengaianna,S,14443,AAY8J
1729,Tamil Nadu,10,6.45,TIRUVALLUR,B,16790,3I4A0
974,Tamil Nadu,11,6.09,Tirunelveli,S,10395,UCY1I
2103,Tamil Nadu,11,5.43,Madurai,S,22517,PVWZJ
954,Tamil Nadu,11,6.88,Chennai,S,10142,M0UNS
954,Tamil Nadu,11,6.88,Coimbatore,S,10142,XFNLE
1277,Tamil Nadu,11,5.92,Coimbatore,S,13640,1GXR5
1945,Tamil Nadu,11,5.45,Chennai,B,20823,7XX1B
1426,Tamil Nadu,11,5.14,Chennai,S,15290,6Z3XU
3340,Tamil Nadu,11,5.81,KRISHNAGIRI,S,35695,FFPDL
2627,Tamil Nadu,11,5.51,Coimbatore,S,28116,YUID0
954,Tamil Nadu,11,6.88,TIRUVALLUR,S,10142,9ZHF0
1543,Tamil Nadu,11,4.88,Coimbatore,S,16566,EG89Y
1349,Tamil Nadu,11,5.44,ERODE,S,14443,MFNJB
3340,Tamil Nadu,11,5.81,KARUR,B,35695,ATK3K
1601,Tamil Nadu,11,4.7,DINDIGUL,S,17204,YLULX
753,Tamil Nadu,10,5.61,VILLUPURAM,S,7340,OT3G9
1632,Tamil Nadu,11,4.61,ERODE,S,17545,SFITJ
1632,Tamil Nadu,11,4.61,ERODE,S,17545,ZF61T
1722,Tamil Nadu,11,6.17,Coimbatore,S,18370,XXKQT
1659,Tamil Nadu,10,6.72,CUDDALORE,B,16090,XTNDK
1611,Tamil Nadu,11,6.61,Coimbatore,S,17149,LUQ7K
891,Tamil Nadu,11,7.38,KANCHIPURAM,S,9449,WAA9N
1833,Tamil Nadu,11,5.79,Chennai,S,19591,X2UTI
1277,Tamil Nadu,11,5.92,Tirunelveli,B,13640,2KNI6
2968,Tamil Nadu,11,4.87,Dharmapuri,S,31867,DEDE4
952,Tamil Nadu,11,6.45,ERODE,S,10142,R28MH
3199,Tamil Nadu,11,4.51,TIRUVANNAMALAI,S,34408,CLUE8
1345,Tamil Nadu,11,5.46,THENI,FEMI,14399,95DSI
1455,Tamil Nadu,11,5.18,ERODE,FEMI,15598,9NETU
1272,Tamil Nadu,11,5.78,TUTICORIN,FEMI,13596,9WVFQ
1532,Tamil Nadu,11,4.92,Coimbatore,FEMI,16445,78S1U
4103,Tamil Nadu,14,4.13,Madurai,FEMI,55986,Q9ZUG
1611,Tamil Nadu,11,6.61,THENI,FEMI,17149,BCLAN
1199,Tamil Nadu,11,6.14,THENI,FEMI,12793,ZZ3RS
1725,Tamil Nadu,10,5.93,TIRUVANNAMALAI,FEMI,16790,4CYL4
1945,Tamil Nadu,11,5.45,Coimbatore,FEMI,20823,HTX7C
1310,Tamil Nadu,10,5.25,ERODE,FEMI,12790,PK1BT
2234,Tamil Nadu,11,5.11,Chennai,FEMI,23958,L14TG
1344,Tamil Nadu,11,5.31,Kanyakumari,FEMI,14399,XTE80
1272,Tamil Nadu,11,5.78,DINDIGUL,FEMI,13596,JBAZ4
655,Tamil Nadu,11,5.93,Madurai,FEMI,6996,BM6K4
2076,Tamil Nadu,11,5.1,TUTICORIN,FEMI,22264,UCNHJ
1833,Tamil Nadu,11,5.79,VELLORE,FEMI,19591,C86EK
1277,Tamil Nadu,11,5.92,Tirunelveli,FEMI,13640,WH90G
2056,Tamil Nadu,11,5.15,TIRUVALLUR,FEMI,22044,VSWRH
1809,Tamil Nadu,10,5.65,Tirunelveli,FEMI,17630,A4A1H
789,Tamil Nadu,10,5.63,Tirunelveli,FEMI,7690,A2LB6
1945,Tamil Nadu,11,5.45,Coimbatore,FEMI,20823,JG7AW
3531,Tamil Nadu,11,5.49,Nilgiris,FEMI,37796,UGH0H
1150,Tamil Nadu,10,6,Coimbatore,FEMI,11190,ZUDPI
3571,Tamil Nadu,11,5.43,ERODE,FEMI,38236,TWI0S
3149,Tamil Nadu,11,6.17,ERODE,FEMI,33594,XNKCT
914,Tamil Nadu,11,5.81,CUDDALORE,FEMI,9768,WWE5O
908,Tamil Nadu,11,8.16,Kanyakumari,FEMI,9592,LX6RK
914,Tamil Nadu,11,5.81,Coimbatore,FEMI,9768,69U60
1873,Tamil Nadu,11,6.11,Coimbatore,FEMI,19987,QSPUK
653,Tamil Nadu,11,8.2,TIRUVANNAMALAI,FEMI,6897,75LAY
1110,Tamil Nadu,11,5.33,ERODE,FEMI,11891,JPY3W
1443,Tamil Nadu,11,5.23,TUTICORIN,FEMI,15466,V8SE4
894,Tamil Nadu,10,6.23,TIRUVARUR,FEMI,8690,DVBS8
2176,Tamil Nadu,10,5.31,VIRUDHUNAGAR,FEMI,21240,U4CAV
1075,Tamil Nadu,11,6.08,DINDIGUL,FEMI,11473,E0BKZ
1016,Tamil Nadu,11,7.07,KRISHNAGIRI,FEMI,10791,AF4SJ
1455,Tamil Nadu,11,5.18,ERODE,FEMI,15598,X8RUV
1983,Tamil Nadu,11,5.77,Coimbatore,FEMI,21197,WE8DY
1126,Tamil Nadu,11,6.55,Coimbatore,FEMI,11990,RO4U0
2103,Tamil Nadu,11,5.43,Coimbatore,FEMI,22517,8BRV8
2114,Tamil Nadu,11,5.4,Coimbatore,FEMI,22638,J4G2H
1945,Tamil Nadu,11,5.45,TIRUCHIRAPPALLI,FEMI,20823,NGUB7
1565,Tamil Nadu,10,6.55,ERODE,FEMI,15190,OP30C
1075,Tamil Nadu,11,6.08,Salem,FEMI,11473,NZHGJ
1257,Tamil Nadu,10,4.4,Coimbatore,FEMI,12320,DYUPK
1272,Tamil Nadu,11,5.78,Coimbatore,FEMI,13596,XIG6B
978,Tamil Nadu,10,5.68,KANCHIPURAM,FEMI,9530,PULOG
768,Tamil Nadu,11,8.59,THENI,FEMI,8096,A0K8T
1532,Tamil Nadu,11,4.92,TIRUVANNAMALAI,FEMI,16445,VAJ1E
2652,Tamil Nadu,11,5.46,Nilgiris,FEMI,28391,ZZ0W5
1543,Tamil Nadu,11,4.88,VELLORE,FEMI,16566,ZEBJ1
1543,Tamil Nadu,11,4.88,Coimbatore,FEMI,16566,EOHUV
444,Tamil Nadu,11,12.23,VIRUDHUNAGAR,FEMI,4598,1BYJD
1425,Tamil Nadu,11,5,Tirunelveli,FEMI,15290,73VI8
1272,Tamil Nadu,11,5.78,Tirunelveli,FEMI,13596,G5WZH
757,Maharashtra,11,7.04,NORTH GOA,S,8041,U35LV
751,Telangana,7,21.92,Hyderabad,LSBBSS,4893,LYKOE
751,Telangana,7,21.92,Mahabub Nagar,SSSBSB,4893,1ME7B
751,Telangana,7,21.92,Hyderabad,LBBSSS,4893,L0AG7
835,Telangana,7,19.61,Mahabub Nagar,LSSSSS,5481,9YUDE
701,Telangana,7,23.58,Hyderabad,LSSSSS,4543,OYANH
801,Telangana,7,20.48,Mahabub Nagar,LSSBSS,5243,PW1EW
701,Telangana,7,23.58,Nalgonda,BBBBB,4543,AR05N
751,Telangana,7,21.92,Warangal,SSSSS,4893,OURIK
701,Telangana,7,23.58,Khammam,SSBBS,4543,1O4SH
751,Telangana,7,21.92,K.V.RANGAREDDY,SBBBS,4893,O9ICU
751,Telangana,7,21.92,K.V.RANGAREDDY,SBSBS,4893,MBJRR
751,Telangana,7,21.92,Hyderabad,BSBSS,4893,3L2FG
751,Telangana,7,21.92,Hyderabad,SSSS,4893,TVGET
635,Telangana,7,26.19,Hyderabad,BSBB,4081,AVKBS
751,Telangana,7,21.92,Mahabub Nagar,BBSS,4893,AVNI5
751,Telangana,7,21.92,Hyderabad,SSSS,4893,N505E
751,Telangana,7,21.92,Hyderabad,BBSB,4893,UYO0J
801,Telangana,7,20.48,Hyderabad,SBSB,5243,MWKIN
751,Telangana,7,21.92,Hyderabad,SSSS,4893,CHARN
854,Telangana,11,6.47,Adilabad,BSSS,9097,FB7WW
2611,Telangana,10,4.41,Hyderabad,SBSS,25590,PO8H5
1390,Telangana,10,4.95,Karim Nagar,BSBB,13590,PGPDL
1830,Telangana,10,5.59,Hyderabad,SSSB,17840,94R79
1076,Telangana,10,5.58,Warangal,SSSS,10490,DLIYX
894,Telangana,10,4.96,Hyderabad,SSSS,8740,EW0FJ
1932,Telangana,14,4.22,Hyderabad,SSSS,26348,ZFD7D
655,Telangana,11,5.93,Warangal,SBS,6996,MH5QG
2610,Telangana,14,3.8,Warangal,SBS,35686,ADKYL
1915,Telangana,10,5.33,Nizamabad,SBS,18690,8HITR
1082,Telangana,10,4.09,Medak,SSS,10620,PKN7Y
1475,Telangana,14,5.22,Medak,SSS,19992,6GBHF
1695,Telangana,10,6.04,K.V.RANGAREDDY,SSS,16490,VABMO
823,Telangana,10,5.12,Karim Nagar,SSS,8040,AMVDG
1433,Telangana,10,5.27,Mahabub Nagar,SSS,13990,6VDZ0
1494,Telangana,11,5.46,Warangal,SSS,15994,O2MN9
1508,Telangana,11,4.86,Mahabub Nagar,SSS,16192,WJOSM
1494,Telangana,11,5.46,K.V.RANGAREDDY,SSS,15994,JE4WB
1849,Telangana,10,6.02,Warangal,SSS,17990,KAZN7
1704,Telangana,14,4.5,Medak,SSS,23198,I44H4
1029,Telangana,11,4.95,Khammam,SSB,11044,8DXC7
1426,Telangana,11,5.14,Karim Nagar,SSS,15290,N6VLA
1969,Telangana,10,5.65,K.V.RANGAREDDY,SSS,19190,T10TL
2052,Telangana,10,5.63,Karim Nagar,SSS,20000,ZBEFT
1729,Telangana,10,6.45,Hyderabad,SSS,16790,TQAUD
1807,Telangana,14,4.24,Medak,SSS,24640,C91TB
1380,Telangana,10,4.98,Adilabad,SSS,13490,AVEQK
1290,Telangana,10,5.34,Adilabad,SSS,12590,9Y98I
2616,Telangana,11,7.46,Hyderabad,SBS,27731,US8MG
1695,Telangana,10,6.04,Karim Nagar,SSS,16490,JFEVW
1069,Telangana,11,4.95,Khammam,SSS,11473,QFV9K
1821,Telangana,14,4.48,Warangal,SSS,24794,XBAGK
1050,Telangana,11,6.23,Nizamabad,SSS,11198,FHS3R
1729,Telangana,10,6.45,K.V.RANGAREDDY,SBB,16790,S53JY
2304,Telangana,14,4.1,Hyderabad,SSS,31444,R7OR7
954,Telangana,11,6.88,Mahabub Nagar,SSS,10142,6LH9P
1305,Telangana,10,5.27,Mahabub Nagar,SSS,12740,KQN5G
1265,Telangana,11,4.66,Karim Nagar,SSS,13596,B8GK1
1349,Telangana,11,5.44,Mahabub Nagar,SSS,14443,MQV0N
1119,Telangana,11,5.28,Hyderabad,SSS,11990,M96SZ
1272,Telangana,11,5.78,Medak,SSS,13596,6024N
1585,Telangana,10,6.47,Mahabub Nagar,SSB,15390,E1CBT
2291,Telangana,10,5.04,Khammam,SSS,22390,WH0PK
2089,Telangana,10,5.31,K.V.RANGAREDDY,SSS,20390,HC9AC
1600,Telangana,14,4.8,K.V.RANGAREDDY,SSB,21742,8HBPH
1041,Telangana,10,5.77,Mahabub Nagar,SSS,10140,K9XSI
1069,Telangana,11,4.95,Hyderabad,SSS,11473,QDU5B
2089,Telangana,10,5.31,Hyderabad,SSS,20390,JFZLV
2150,Telangana,14,4.63,Nizamabad,SSS,29246,EMNCD
1117,Telangana,11,6.6,Adilabad,SSS,11891,0MW2W
880,Telangana,10,7.89,Hyderabad,SSS,8490,NYAGP
1069,Telangana,11,4.95,Hyderabad,SSS,11473,AXNQS
2089,Telangana,10,5.31,Nalgonda,SSS,20390,OLUTU
1304,Telangana,10,5.28,Hyderabad,SSS,12730,7SDGR
1051,Telangana,11,5.63,Hyderabad,SSS,11242,V9UT9
1341,Telangana,11,5.48,Mahabub Nagar,SSS,14355,SR5OT
1117,Telangana,11,6.6,Hyderabad,BBS,11891,SXJMJ
2291,Telangana,10,5.04,Hyderabad,SS,22390,VDUD7
1043,Telangana,11,4.68,K.V.RANGAREDDY,SS,11209,AZJ8Y
1050,Telangana,10,6.58,Mahabub Nagar,BB,10190,KGWAL
2089,Telangana,10,5.31,K.V.RANGAREDDY,SS,20390,EK4XE
1475,Telangana,10,4.66,Karim Nagar,SS,14440,33HJ1
1969,Telangana,10,5.65,K.V.RANGAREDDY,BS,19190,TITWY
1599,Telangana,14,5.12,Hyderabad,SS,21686,VNEXG
954,Telangana,11,6.88,Nizamabad,BS,10142,44FBZ
1508,Telangana,11,5.41,Hyderabad,SS,16148,YTJKF
1289,Telangana,14,5.99,Hyderabad,BB,17388,0AR3I
1365,Telangana,10,7.54,Hyderabad,SS,13190,F63HU
1349,Telangana,11,5.44,Mahabub Nagar,SS,14443,RY5WM
1679,Telangana,11,5.22,Mahabub Nagar,SB,17996,DT0V3
1632,Telangana,11,4.61,Karim Nagar,SB,17545,3M84G
1543,Telangana,11,4.88,Hyderabad,SS,16566,OL56E
1229,Telangana,11,5.31,Karim Nagar,SS,13167,JAZFB
1354,Telangana,11,5.58,Hyderabad,SS,14487,3MINA
1559,Telangana,10,4.4,Hyderabad,SS,15280,HGGJ7
2771,Telangana,10,4.15,Nalgonda,SS,27190,5QHRG
1363,Telangana,10,5.54,Karim Nagar,SS,13290,E4DAH
1220,Telangana,10,5.65,Nizamabad,SS,11890,LYMQD
1807,Telangana,14,4.24,Mahabub Nagar,SB,24640,K82PC
980,Telangana,10,6.13,Hyderabad,SS,9530,TXJ6Y
1543,Telangana,11,4.88,Hyderabad,SS,16566,9J9RB
1648,Telangana,10,4.57,Karim Nagar,SS,16140,549CT
1858,Telangana,11,4.71,Khammam,SS,19965,7VZHJ
3137,Telangana,11,6.19,Hyderabad,SS,33462,3KZLA
2173,Telangana,10,5.11,K.V.RANGAREDDY,SS,21230,FG7LA
2337,Telangana,14,4.26,Hyderabad,SS,31864,WQUSX
3340,Telangana,11,5.81,K.V.RANGAREDDY,SS,35695,A3Q5O
1585,Telangana,10,6.47,K.V.RANGAREDDY,SB,15390,BBCM3
1277,Telangana,11,5.92,Hyderabad,SS,13640,JQGOH
746,Telangana,11,5.19,Medak,SB,7997,UZYNO
2771,Telangana,10,4.15,K.V.RANGAREDDY,BS,27190,S9LUN
1249,Telangana,11,6.56,Medak,SS,13299,4HB66
2771,Telangana,10,4.15,Karim Nagar,SS,27190,GLDCD
791,Telangana,11,4.89,Mahabub Nagar,SS,8492,4WI5U
1551,Telangana,11,5.66,Hyderabad,SS,16588,L7BHB
1220,Telangana,10,5.65,Hyderabad,SS,11890,6HBLG
2203,Telangana,14,4.52,K.V.RANGAREDDY,BS,29988,A13V9
1478,Telangana,14,5.55,Adilabad,SS,19992,QTYYE
1272,Telangana,11,5.78,Adilabad,BB,13596,03IPL
1729,Telangana,10,6.45,Nalgonda,SB,16790,GP57V
1277,Telangana,11,5.92,Nalgonda,BB,13640,3FEIN
1041,Telangana,10,5.77,Medak,SB,10140,PAAAN
1637,Telangana,10,4.6,K.V.RANGAREDDY,SB,16030,LTJ64
2337,Telangana,14,4.26,Karim Nagar,SS,31864,I6TR7
2771,Telangana,10,4.15,Mahabub Nagar,SS,27190,RUVF0
1543,Telangana,11,4.88,Hyderabad,SS,16566,LNC4O
2173,Telangana,10,5.11,Warangal,SS,21230,2BDDK
1620,Telangana,11,4.64,Hyderabad,SS,17413,FUHW8
1475,Telangana,10,4.66,Mahabub Nagar,SS,14440,VAX39
1366,Telangana,11,5.53,K.V.RANGAREDDY,SS,14619,W28AW
2611,Telangana,10,4.41,K.V.RANGAREDDY,SS,25590,FVZ3B
1474,Telangana,11,5.96,Khammam,SB,15741,8LDOH
1819,Telangana,14,4.21,Hyderabad,S,24808,HFWLU
1443,Telangana,11,5.23,Hyderabad,S,15466,LDLRM
1354,Telangana,11,5.58,Warangal,B,14487,OOBP9
1618,Telangana,14,4.75,Nalgonda,S,21994,MSU87
972,Telangana,11,5.67,Karim Nagar,S,10395,OW4CX
2053,Telangana,10,5.41,Hyderabad,S,20030,524PY
1455,Telangana,11,5.18,Mahabub Nagar,S,15598,YDCAZ
2052,Telangana,10,5.63,Mahabub Nagar,B,20000,7U5CG
1553,Telangana,10,4.85,Khammam,B,15190,JC0AI
1618,Telangana,14,4.75,K.V.RANGAREDDY,S,21994,2YAPA
2771,Telangana,10,4.15,K.V.RANGAREDDY,B,27190,0G1AW
1716,Telangana,14,4.47,Nizamabad,S,23366,SJE8W
6166,Telangana,17,6.35,Nizamabad,S,99994,YID0H
3813,Telangana,17,10.49,Khammam,S,59993,NK8LD
1366,Telangana,11,5.53,Hyderabad,S,14619,0Q6EF
1679,Telangana,11,5.22,Hyderabad,S,17996,SH8TP
1679,Telangana,11,5.22,Warangal,B,17996,CAAT8
2611,Telangana,10,4.41,Khammam,B,25590,208JT
834,Telangana,11,6.38,Adilabad,S,8888,1AA5Y
1620,Telangana,11,4.64,Warangal,S,17413,6XJQA
754,Telangana,11,5.13,Adilabad,B,8085,QP7HJ
1051,Telangana,11,5.63,K.V.RANGAREDDY,S,11242,K8D40
2130,Telangana,10,5.21,K.V.RANGAREDDY,S,20800,2B9SZ
1117,Telangana,11,6.6,K.V.RANGAREDDY,S,11891,KX5DF
1455,Telangana,11,5.18,Hyderabad,B,15598,76T5O
655,Telangana,11,5.93,Hyderabad,S,6996,IH66K
1194,Telangana,11,6.16,Warangal,S,12738,4W551
954,Telangana,11,6.88,Hyderabad,S,10142,6K88S
1620,Telangana,11,4.64,K.V.RANGAREDDY,S,17413,6MU81
1474,Telangana,11,5.96,Warangal,S,15741,YMZNK
2138,Telangana,11,4.95,Mahabub Nagar,S,22946,0YRQB
1031,Telangana,11,5.34,Warangal,S,11044,FJYQE
1781,Telangana,11,4.91,K.V.RANGAREDDY,B,19118,13HGB
1543,Telangana,11,4.88,Hyderabad,S,16566,TJ7IL
1259,Telangana,10,4.75,Medak,S,12320,5LHL5
1152,Telangana,11,5.67,Karim Nagar,S,12320,KM8Q9
3340,Telangana,11,5.81,Karim Nagar,S,35695,9IJ70
1543,Telangana,11,4.88,Warangal,S,16566,HRCM4
705,Telangana,11,6.98,K.V.RANGAREDDY,S,7491,BWK51
1117,Telangana,11,6.6,K.V.RANGAREDDY,S,11891,IXYWD
1926,Telangana,10,6.01,K.V.RANGAREDDY,S,18740,3C5TC
1801,Telangana,11,5.9,K.V.RANGAREDDY,S,19239,DXULS
2106,Telangana,10,4.63,K.V.RANGAREDDY,S,20620,LGCMB
1117,Telangana,11,6.6,Khammam,S,11891,ZJ1VL
1543,Telangana,11,4.88,Khammam,S,16566,5HFDN
2301,Telangana,11,4.6,Hyderabad,S,24739,GL6S8
1305,Telangana,10,5.27,Nizamabad,S,12740,F4VYK
834,Telangana,11,6.38,Hyderabad,S,8888,L5YLS
1117,Telangana,11,6.6,Medak,B,11891,7AA6L
2056,Telangana,11,5.15,K.V.RANGAREDDY,S,22044,JL5N6
655,Telangana,11,5.93,Adilabad,S,6996,5E1KL
1611,Telangana,11,6.61,Hyderabad,S,17149,MI5QV
1945,Telangana,11,5.45,Adilabad,S,20823,JKB4W
1722,Telangana,11,6.17,Hyderabad,S,18370,MJ4GN
2103,Telangana,11,5.43,Hyderabad,S,22517,6BFKG
819,Telangana,11,5.99,Warangal,S,8745,WQODF
1227,Telangana,11,4.98,Mahabub Nagar,S,13167,5BYDU
2056,Telangana,11,5.15,K.V.RANGAREDDY,S,22044,JYSDC
1349,Telangana,11,5.44,Mahabub Nagar,S,14443,FK0T9
1833,Telangana,11,5.79,K.V.RANGAREDDY,S,19591,1GLE0
790,Telangana,11,7.01,Mahabub Nagar,B,8393,LEG2J
1543,Telangana,11,4.88,K.V.RANGAREDDY,S,16566,5SXW9
1781,Telangana,11,4.91,Hyderabad,S,19118,LU0NB
1054,Telangana,11,7,Karim Nagar,S,11198,JYHVC
1054,Telangana,11,7,Hyderabad,S,11198,XFHMW
1054,Telangana,11,7,K.V.RANGAREDDY,S,11198,UYRZP
1150,Telangana,10,6,Adilabad,S,11190,YG362
1551,Telangana,11,5.66,K.V.RANGAREDDY,S,16588,W0U68
1054,Telangana,11,7,Nalgonda,FEMI,11198,Q4HT5
2056,Telangana,11,5.15,K.V.RANGAREDDY,FEMI,22044,N31QV
1394,Telangana,10,4.93,Adilabad,FEMI,13630,C0J5U
1277,Telangana,11,5.92,Adilabad,FEMI,13640,4CE2J
1277,Telangana,11,5.92,K.V.RANGAREDDY,FEMI,13640,9PNX5
1216,Telangana,11,5.02,Warangal,FEMI,13046,4.50E+98
1611,Telangana,11,6.61,Nizamabad,FEMI,17149,T6935
1611,Telangana,11,6.61,K.V.RANGAREDDY,FEMI,17149,0SXBB
655,Telangana,11,5.93,Hyderabad,FEMI,6996,2YJ2J
4353,Telangana,14,3.89,Nizamabad,FEMI,59486,79S4X
3340,Telangana,11,5.81,K.V.RANGAREDDY,FEMI,35695,6O0ER
1184,Telangana,10,4.68,Hyderabad,FEMI,11590,1O7XE
1945,Telangana,11,5.45,Hyderabad,FEMI,20823,8LDNI
1180,Telangana,11,6.06,Hyderabad,FEMI,12595,URKG5
1100,Telangana,11,6.9,Nizamabad,FEMI,11693,CVOUN
3228,Telangana,18,4.7,Nizamabad,FEMI,55998,KIX8P
1031,Telangana,11,5.34,Adilabad,FEMI,11044,Z7RDN
1689,Telangana,11,4.45,Adilabad,FEMI,18172,HTZUK
1945,Telangana,11,5.45,Hyderabad,FEMI,20823,HZ95X
1425,Telangana,11,5,Mahabub Nagar,FEMI,15290,9DHV4
1100,Telangana,11,6.9,Warangal,FEMI,11693,G4J0G
1388,Telangana,11,7.7,Hyderabad,FEMI,14696,7KI9L
1551,Telangana,10,7.5,Adilabad,FEMI,14990,OW2LY
1084,Telangana,11,5.65,Hyderabad,FEMI,11594,U8UJJ
2968,Telangana,11,4.87,Nizamabad,FEMI,31867,J1ICI
3149,Telangana,11,6.17,K.V.RANGAREDDY,FEMI,33594,MUCLX
862,Telangana,11,6.17,Medak,FEMI,9196,2SRNN
2176,Telangana,10,5.31,Adilabad,FEMI,21240,HJQ9E
1660,Telangana,10,6.17,Khammam,FEMI,16140,E2I18
873,Telangana,11,5.61,Hyderabad,FEMI,9339,HZ8EZ
1679,Telangana,11,5.22,Warangal,FEMI,17996,S2CZZ
1344,Telangana,11,5.31,Mahabub Nagar,FEMI,14399,24VQK
1161,Telangana,11,5.27,Khammam,FEMI,12441,J81RY
1016,Telangana,11,7.07,K.V.RANGAREDDY,FEMI,10791,WL09S
1543,Telangana,11,4.88,Medak,FEMI,16566,WK7TI
2076,Telangana,11,5.1,Khammam,FEMI,22264,0MD58
2471,Tamil Nadu,14,4.02,Pondicherry,SS,33740,VV4ET
2968,Tamil Nadu,11,4.87,Pondicherry,S,31867,KBCGF
968,Tamil Nadu,11,6.77,Pondicherry,FEMI,10296,IMXX2
751,Kerala,7,21.92,Kollam,SSSSSB,4893,A8YMW
751,Kerala,7,21.92,Kannur,LSSSBB,4893,QPIO5
751,Kerala,7,21.92,Thrissur,LSBBSS,4893,6FICX
701,Kerala,7,23.58,Palakkad,SSSSB,4543,IZIJL
751,Kerala,7,21.92,Pathanamthitta,BHSBS,4893,7WZJ7
751,Kerala,7,21.92,MALAPPURAM,SSSSS,4893,V6NXC
751,Kerala,7,21.92,IDUKKI,SSBBS,4893,0IGQC
951,Kerala,7,17.11,Thiruvananthapuram,SSSSS,6293,4K7MW
751,Kerala,7,21.92,IDUKKI,SSBSS,4893,24GT2
551,Kerala,7,30.5,Palakkad,SSSSS,3493,C0OXZ
751,Kerala,7,21.92,Thiruvananthapuram,SSSBS,4893,GTPLC
835,Kerala,7,19.61,Ernakulam,BSSSB,5481,FJ1JF
751,Kerala,7,21.92,IDUKKI,SSSSS,4893,E1118
835,Kerala,7,19.61,Thiruvananthapuram,SSBBS,5481,W6374
985,Kerala,7,16.5,IDUKKI,SSBSS,6531,J0NM5
751,Kerala,7,21.92,Thiruvananthapuram,SSSSS,4893,SJNN8
835,Kerala,7,19.61,KASARGOD,SSSSS,5481,CRAHV
751,Kerala,7,21.92,IDUKKI,SSSSS,4893,3JLCU
901,Kerala,7,18.1,Thiruvananthapuram,SSSB,5943,Y9LLJ
751,Kerala,7,21.92,Thiruvananthapuram,SSSS,4893,I8D3A
751,Kerala,7,21.92,MALAPPURAM,BBSB,4893,DZBHB
801,Kerala,7,20.48,Thrissur,SSSS,5243,0WZ4L
801,Kerala,7,20.48,IDUKKI,SSSB,5243,49KXL
801,Kerala,7,20.48,Palakkad,SSSB,5243,SEYWY
801,Kerala,7,20.48,Thiruvananthapuram,BSBB,5243,OMDUF
666,Kerala,8,31.85,Palakkad,BSSS,4744,UCC2U
751,Kerala,7,21.92,Kannur,SSSS,4893,XDGPJ
901,Kerala,7,18.1,MALAPPURAM,SSSS,5943,107B0
851,Kerala,7,19.22,Ernakulam,SSSS,5593,MYWHU
901,Kerala,7,18.1,Palakkad,SSBS,5943,GEZ3T
901,Kerala,7,18.1,Thiruvananthapuram,SSSS,5943,NRRS4
851,Kerala,7,19.22,Kollam,SBSS,5593,PHQ0H
851,Kerala,7,19.22,Ernakulam,BSBS,5593,WB06O
751,Kerala,7,21.92,Thrissur,SSSS,4893,1JSBY
3571,Kerala,11,5.43,Thiruvananthapuram,SSSS,38236,W8H7A
751,Kerala,7,21.92,Ernakulam,SSSS,4893,RKYK1
845,Kerala,11,4.57,KASARGOD,SSSS,9086,HF9FO
1220,Kerala,10,5.65,Kozhikode,BSSS,11890,EK0Q2
655,Kerala,11,5.93,Ernakulam,SSSS,6996,NQZSG
910,Kerala,11,4.92,Wayanad,SSSS,9768,05NGX
753,Kerala,11,5.97,MALAPPURAM,SSSS,8041,37SWK
1119,Kerala,11,5.28,KASARGOD,HSSS,11990,7GJQ5
1335,Kerala,11,6.13,Kozhikode,SSSB,14245,MDZZ6
1695,Kerala,10,6.04,Kollam,BSSB,16490,EV7RW
1349,Kerala,11,5.44,Thiruvananthapuram,SSSS,14443,R734K
901,Kerala,7,18.1,Thiruvananthapuram,SSSS,5943,GV1BK
1911,Kerala,14,4.01,Kozhikode,SSSS,26096,45S5N
1498,Kerala,11,5.45,Ernakulam,HSSS,16038,MHKMR
2595,Kerala,10,4.44,Thiruvananthapuram,SSS,25430,LU6JZ
751,Kerala,7,21.92,Thrissur,SSS,4893,F5BQQ
751,Kerala,7,21.92,Kozhikode,SSS,4893,9PPYO
989,Kerala,11,4.94,Kozhikode,SSS,10615,5XYZC
1345,Kerala,11,5.46,Kozhikode,SSS,14399,87LDM
751,Kerala,7,21.92,Pathanamthitta,SSS,4893,VZRPH
1915,Kerala,10,5.33,Kozhikode,SSS,18690,D3GZ9
1560,Kerala,10,4.4,Thiruvananthapuram,SSS,15290,M88WI
651,Kerala,7,25.51,Kozhikode,SSS,4193,TMGC0
1733,Kerala,10,4.34,Kollam,SSS,16990,ABMCR
751,Kerala,7,21.92,Thiruvananthapuram,SSS,4893,7G45T
